route_id,service_id,trip_id,trip_headsign,block_id
124-125,JAN12-JANSA12-Saturday-12,20061527-JAN12-JANSA12-Saturday-12,"Hurdman",2568074
124-125,JAN12-JANSA12-Saturday-12,20061528-JAN12-JANSA12-Saturday-12,"Hurdman",2568081
124-125,JAN12-JANSA12-Saturday-12,20061529-JAN12-JANSA12-Saturday-12,"Hurdman",2568106
124-125,JAN12-JANSA12-Saturday-12,20061530-JAN12-JANSA12-Saturday-12,"Hurdman",2568074
124-125,JAN12-JANSA12-Saturday-12,20061531-JAN12-JANSA12-Saturday-12,"Hurdman",2568106
124-125,JAN12-JANSA12-Saturday-12,20061532-JAN12-JANSA12-Saturday-12,"Hurdman",2568106
124-125,JAN12-JANSA12-Saturday-12,20061533-JAN12-JANSA12-Saturday-12,"Hurdman",2568081
124-125,JAN12-JANSA12-Saturday-12,20061534-JAN12-JANSA12-Saturday-12,"Hurdman",2568081
124-125,JAN12-JANSA12-Saturday-12,20061535-JAN12-JANSA12-Saturday-12,"Hurdman",2568081
124-125,JAN12-JANSA12-Saturday-12,20061536-JAN12-JANSA12-Saturday-12,"Hurdman",2568081
124-125,JAN12-JANSA12-Saturday-12,20061537-JAN12-JANSA12-Saturday-12,"Hurdman",2568074
124-125,JAN12-JANSA12-Saturday-12,20061538-JAN12-JANSA12-Saturday-12,"Hurdman",2568074
124-125,JAN12-JANSA12-Saturday-12,20061539-JAN12-JANSA12-Saturday-12,"Hurdman",2568074
126-125,JAN12-JANSA12-Saturday-12,20061540-JAN12-JANSA12-Saturday-12,"Pineview",2568074
126-125,JAN12-JANSA12-Saturday-12,20061541-JAN12-JANSA12-Saturday-12,"Pineview",2568074
126-125,JAN12-JANSA12-Saturday-12,20061542-JAN12-JANSA12-Saturday-12,"Pineview",2568106
